longitude_deg,latitude_deg,date_utc,integration_s,frequency_hz,amplitude,vlsr_kms
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419779882.8125,-1.6334754361064208,160.8472729
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419784765.625,-2.383826746075623,159.8167009
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419789648.4375,-8.79691177261341,158.786129
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419794531.25,-6.603686374554992,157.755557
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419799414.0625,-2.790618867468252,156.72498499999998
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419804296.875,-1.621838318215208,155.694413
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419809179.6875,3.838908240257489,154.66384109999998
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419814062.5,-4.620138458827181,153.6332691
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419818945.3125,-2.1470610325924855,152.6026971
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419823828.125,-3.1015213561051813,151.5721251
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419828710.9375,-2.825542425159003,150.54155319999998
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419833593.75,1.1270018262536765,149.5109812
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419838476.5625,-0.9328288550404892,148.4804092
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419843359.375,0.11352019542746954,147.44983720000002
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419848242.1875,-8.655648518915212,146.4192653
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419853125.0,-20.65029198008296,145.3886933
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419858007.8125,-9.396224923850934,144.3581213
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419862890.625,-5.775484189536692,143.32754930000002
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419867773.4375,-3.921071268915579,142.2969774
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419872656.25,-1.9190388309038025,141.2664054
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419877539.0625,-9.897305453003217,140.2358334
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419882421.875,-14.41242269880069,139.20526139999998
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419887304.6875,-7.796665917540403,138.1746895
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419892187.5,-9.985625694548505,137.1441175
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419897070.3125,-3.219423524918761,136.11354550000001
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419901953.125,-0.5982289463354025,135.08297349999998
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419906835.9375,-5.03143508921618,134.05240160000002
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419911718.75,-6.6536829050076625,133.0218296
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419916601.5625,-9.477778315048754,131.9912576
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419921484.375,-6.349927690994039,130.9606856
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419926367.1875,-5.064412952665352,129.9301137
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419931250.0,-6.966939447886348,128.89954170000001
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419936132.8125,1.526853184571048,127.86896970000001
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419941015.625,-6.313795878657387,126.8383977
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419945898.4375,-14.212270861036298,125.8078258
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419950781.25,-15.670399008147648,124.77725380000001
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419955664.0625,-10.052978451567803,123.7466818
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419960546.875,-6.817810371487084,122.71610980000001
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419965429.6875,-7.543451546508173,121.6855379
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419970312.5,-7.02178932398899,120.6549659
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419975195.3125,-8.742846459933254,119.6243939
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419980078.125,-9.474757740486224,118.5938219
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419984960.9375,-7.759972691236401,117.56325
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419989843.75,-5.473593799044853,116.532678
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419994726.5625,-5.40486565706057,115.502106
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419999609.375,-7.791833631598942,114.471534
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420004492.1875,-6.749070900244345,113.44096210000001
90.0,0.0,2026-05-11T08:17:34+00:00,74,1420009375.0,-10.529839140343888,112.4103901
